role,company,description,link
Financial Model Consultant,Ravenry,"About the Role
We are seeking a Financial Analyst who combines financial modeling capability with hands-on experience in the MERN stack (MongoDB, Express, React, Node.js) and TypeScript.
This role focuses on translating financial logic and statistical reasoning into scalable web-based simulation systems and decision-support tools.
Candidates with 2–3 years of relevant experience are preferred. Strong fresh graduates with solid technical foundations are also welcome to apply.
Key Responsibilities
Build and structure financial models (forecasting, cash flow, scenario analysis).
Implement financial logic in MERN + TypeScript applications.
Develop and enhance React-based dashboards and simulation interfaces.
Build backend services using Node.js and Express.
Manage financial data using MongoDB.
Integrate APIs and handle structured data flows (REST, JSON).
Test and validate model accuracy within web systems.
Collaborate with consultants and product teams on system improvements.

Requirements
Degree in IT / Computer Science, Finance, Business, or a related field.
2–3 years of relevant experience in financial analysis, modeling, or related roles (fresh graduates with strong technical skills may also apply).
Demonstrated experience building financial models (academic, internship, or professional).
Proficiency in TypeScript.
Practical understanding of the MERN stack
Understanding of frontend–backend data flow.
Familiarity with REST APIs and JSON.
Experience with Git.
Strong analytical reasoning and structured problem-solving skills.

What You’ll Gain
Exposure to real-world simulation systems used in corporate decision-making.
Hands-on experience building scalable financial engines in a modern web stack.
Cross-functional collaboration across finance, product, and engineering.
Growth toward Simulation Developer, Financial Systems Engineer, or Product Modeling roles.
About Int Labs
Int Labs is an innovative training and consultancy company built by practitioners, entrepreneurs, and founders. Originating in Singapore, we specialize in providing experiential, simulation-based training solutions, focusing on leadership development, innovation capabilities, and strategic planning for ambitious corporations in Indonesia and across the region.",https://id.jobstreet.com/id/job/90419240?type=standard&ref=search-standalone&origin=cardTitle#sol=620e0b2caa394b61f72b542db3543b239b860280
Sales Data Analyst,PT Pristine Prima Lestari,"Kesempatan
PT Pristine Prima Lestari, perusahaan yang bergerak di bidang produksi Bumbu (Seasoning), mencari Sales Data Analyst yang berpengalaman untuk bergabung dengan tim kami di Cengkareng, Jakarta Raya. Sebagai Sales Data Analyst, Anda akan memainkan peran penting dalam menganalisis dan melaporkan data penjualan untuk mendukung strategi penjualan dan pengambilan keputusan bisnis. Kandidat yang ideal memiliki kemampuan analitis yang kuat, pemahaman yang mendalam tentang tren pasar, dan kemampuan untuk menerjemahkan wawasan data menjadi tindakan yang dapat dieksekusi.
Tanggung Jawab
Mengumpulkan, menganalisis, dan menafsirkan data penjualan untuk mengidentifikasi peluang peningkatan kinerja penjualan.
Membuat laporan dan dashboard penjualan yang informatif untuk mengomunikasikan wawasan dan tren kepada tim manajemen.
Berkolaborasi dengan tim penjualan dan pemasaran untuk memberikan rekomendasi strategis berdasarkan analisis data.
Memantau dan menganalisis kinerja produk, pelanggan, dan saluran distribusi untuk mengidentifikasi area peningkata.
Menyiapkan laporan performa penjualan secara berkala.
Melakukan forecasting penjualan dan analisis kinerja.
Mengevaluasi efektivitas promosi, harga, dan campaign penjualan.
Memastikan akurasi dan konsistensi data pada seluruh sistem pelaporan.
Memahami konfigurasi CRM serta mendukung proses implementasi dan penggunaannya.
Berpartisipasi dalam proyek-proyek strategis di fungsi Sales & Marketing.

Kualifikasi
Pendidikan minimal S1 di bidang Statistik, Matematika, Data Science, Bisnis, Sistem Informasi, atau bidang terkait.
Minimal 2 tahun pengalaman sebagai Data Analyst, Business Analyst atau posisi serupa (pengalaman di industri manufaktur menjadi nilai tambah).
Mahir menggunakan Microsoft Excel (pivot table, rumus tingkat lanjut, data analysis tools, dan pembuatan dashboard).
Memahami metrik penjualan (revenue/pendapatan, growth rate/tingkat pertumbuhan, conversion rate/tingkat konversi, dan lain-lain).
Memiliki kemampuan analitis yang kuat, teliti terhadap detail, serta memiliki kemampuan problem solving yang baik.
Memiliki kemampuan komunikasi yang baik dan mampu menyampaikan insight/data secara jelas kepada stakeholder.",https://id.jobstreet.com/id/job/90461824?type=standard&ref=search-standalone#sol=f34c08b87e3889eec36cf64bd39344643e0ae71e
Business Analyst,PT Suriatama,"Tugas & Tanggung Jawab (Job Desk):
Analisis Performa Penjualan: Mengevaluasi pencapaian target penjualan mingguan dan bulanan, serta mengidentifikasi faktor pendorong (driver) atau penghambat penjualan.
Optimasi Inventory: Menganalisis siklus hidup produk (product lifecycle) dan memberikan rekomendasi strategi markdown (diskon) atau restock untuk menjaga kesehatan stok di gudang dan toko.
Riset Pasar & Tren: Melakukan analisis kompetitor dan tren fashion untuk membantu tim Merchandising menentukan arah koleksi berikutnya.
Evaluasi Promosi: Menghitung ROI (Return on Investment) dari setiap kampanye marketing dan promosi toko guna memastikan efektivitas anggaran.
Peningkatan Proses Bisnis: Mengidentifikasi inefisiensi dalam operasional retail (seperti alur distribusi atau sistem kasir) dan mengusulkan solusi perbaikan.
Pelaporan Strategis: Menyusun presentasi laporan yang mendalam namun mudah dipahami oleh jajaran manajemen sebagai landasan pengambilan keputusan.
Kualifikasi & Persyaratan:
Pendidikan: Minimal S1 di bidang Bisnis, Manajemen, Ekonomi, Statistika, atau Teknik Industri.
Pengalaman: Minimal 2-3 tahun pengalaman sebagai Business Analyst atau posisi serupa (diutamakan dari industri Retail atau E-commerce).
Kemampuan Analitis: Memiliki kemampuan berpikir kritis yang kuat, mampu menghubungkan titik-titik data yang berbeda menjadi satu kesimpulan logis.
Kemampuan Teknis:
Mahir dalam menggunakan Microsoft Excel (Advanced: Pivot Table, VLOOKUP/XLOOKUP, Macro/VBA).
Familiar dengan alat visualisasi data seperti Tableau, Power BI, atau BI BES.
Memahami dasar-dasar SQL untuk penarikan data merupakan nilai tambah.
Keahlian Bisnis: Memahami konsep KPI retail seperti Same-Store Sales Growth (SSSG), Sell-through Rate, dan Gross Margin Return on Investment (GMROI).
Komunikasi: Mampu berkomunikasi dengan baik dan mempresentasikan ide secara persuasif kepada berbagai tingkat pemangku kepentingan.
Karakter: Jujur, teliti, proaktif, dan mampu bekerja di bawah tekanan dalam lingkungan retail yang dinamis.",https://id.jobstreet.com/id/job/90175839?type=standard&ref=search-standalone&origin=cardTitle#sol=642538b8e284b6ceca89b6fe320f180f0f415fc2
Digitalization Officer,PT Environmental Indokarya,"The Digitalization Officer is responsible for driving data collection, analysis, and visualization initiatives to support operational efficiency and client transparency. The role focuses on gathering project-related data, developing and maintaining dashboards (particularly using Power BI), and providing meaningful insights to management and clients to showcase operational performance and continuous improvement.
Key Responsibilities:
1. Data Management and Collection
Coordinate with project teams to collect, validate, and consolidate operational and performance data from various sources.
Ensure data accuracy, completeness, and consistency across all reporting platforms.
Develop standardized templates and tools for project data submission and tracking.
2. Data Visualization and Reporting
Design, build, and maintain Power BI dashboards to visualize project and operational performance.
Present data insights and performance indicators to internal stakeholders and clients in a clear and professional manner.
Automate recurring reports and develop interactive visual tools to support decision-making.
3. Digitalization Initiatives
Support the implementation of digital tools and platforms to enhance operational efficiency and data-driven management.
Collaborate with cross-functional teams to identify digital solutions for process optimization and reporting improvements.
Participate in digital transformation projects, including workflow automation and data integration initiatives.
4. Performance Monitoring and Analysis
Track and analyze key performance indicators (KPIs) for ongoing projects.
Provide data-driven recommendations to improve operational effectiveness and client satisfaction.
Support management reviews and client presentations with up-to-date performance data.
5. Compliance and Documentation
Maintain proper documentation of data sources, methodologies, and dashboards.
Ensure compliance with company data governance, confidentiality, and security policies.
Qualifications and Experience:
Bachelor’s degree in Information Technology, Data Analytics, Business Administration, or related field.
Proven experience (2–4 years) in data management, business intelligence, or digital transformation roles.
Proficiency in Microsoft Power BI, Excel (advanced), and data visualization tools.
Familiarity with databases, data cleaning, and integration tools (e.g., SQL, SharePoint, Power Automate) is an advantage.
Strong analytical thinking, attention to detail, and problem-solving skills.
Excellent communication and presentation abilities for both internal and client-facing reporting.
Core Competencies:
Data-driven mindset and analytical approach.
Strong digital literacy and interest in emerging technologies.
Collaboration and teamwork across departments.
Proactive attitude and ability to manage multiple priorities.
Commitment to accuracy, quality, and continuous improvement.",https://id.jobstreet.com/id/job/90104682?type=standard&ref=search-standalone&origin=cardTitle#sol=eaccc7c5924f1e59f75b7105ec2dcf26228cab2a
Marketing Analytics Analyst,OLX Indonesia,"Collect, analyze, and share data from multiple sources to help teams drive improvement in key business metrics, and business results.
Identify the required data and generate hypotheses based on targets and goals.
Create periodic reports and dashboards to monitor metrics and measure business performance.
Work closely with the performance marketing team and other stakeholders to define metrics for measuring campaign success and achieving goals.
Provide data-driven recommendations to improve channel and campaign performance.
Conduct predictive analysis and forecasting on a regular basis to help the team achieve targets.
Requirement:
3+ years of experience as a Marketing Analyst, Data Analyst, or BusinessIntelligence Analyst.
Experience using marketing analytics tools such as Google Analytics (GA4),Firebase, AppsFlyer, and Google Tag Manager (GTM).
Experience with reporting and data visualization tools such as Looker, Tableau,and Power BI.
Understanding of funnel analysis and the ability to analyze campaignperformance using ROI and ROAS.
Knowledge and understanding of performance marketing strategies, tactics,and tools, including but not limited to Google Ads, Meta Ads, and TikTok Ads.
Experience with query tools such as MySQL and Google BigQuery.
Tools skills needed:
Analytics tools: Google Analytics (GA4), Excel/Spreadsheet.
Ads Dashboard (from the platform used, such as Meta Ads dashboard, GoogleAds dashboard, TikTok Ads dashboard, etc).
Visualization Data: Looker, Tableau, PowerBI.
Query Tools: Google BigQuery, MySQL, PostgreSQL or Query UI like Supermetrics.
Organic & CRM Tools such as SEMRush & MoEngage is a plus point",https://id.jobstreet.com/id/job/90156900?type=standard&ref=search-standalone#sol=007660bee015e5a786a496ccecf0ae023ae8bc8e
Database Administrator,KGlobal Hub Pte Ltd,"We seek to employ the brightest and most forward-thinking talent on the planet.
We always welcome candidates with excellent technical skills in databases such as Oracle, MySQL and  PostgreSQL or Enterprise Application such as Tableau (data visualization) or PAM.
We want to hire people who have their best work ahead of them, not behind them.  Accelerate your career and succeed in an environment where you can make an impact daily. 
We invite you to join us to stand out.
 ·       Responsibilities
Presales
-          Demonstrated ability to troubleshoot challenging technical issues 
-          Excellent client/ customer management skills in term of presales engagement
-          Support TOR include creating and changing together with partners
-          Good technical presentation skills.
Support
-          To manage and resolve Service Requests logged by customers (internal and external) on database and CDC / Enterprise Software (data visualization)  and contribute to proactive support activities according to product support strategy and model
-          Owning and resolving problems and managing customer expectations throughout the Service Request lifecycle in accordance with global standards
-          Working towards, adopting and contributing to new processes and tools (diagnostic methodology, health checks, scripting tools, etc.)
-          Contributing to Knowledge Management content creation and maintenance
-          Working with development on product improvement programs
·       Desired Skills and Requirement
-          Experience troubleshooting and optimizing database performance
-          Strong experience with relational databases such as Oracle (or other DB) is required.
-          Good to have experience on Tableau, Qlik or PowerBI.
-          A fundamental understanding of IT service management and the ITIL business process
-          Bachelor or higher in Computer Information Systems or equivalent experience in a related field
-          Familiarity with Linux or other OS
-          Excellent written and verbal communication skills in English - with the ability to clearly articulate solutions to complex technical problems
-          Ability to work with high-value customer administrators and developers
-          Excellent time management skills
·       Work Environment
We are a dynamic and rapidly growing software company with a strong sense of dedication to our customers. We provide competitive compensation, generous benefits, and a professional, yet relaxed atmosphere.
·       Salary
Negotiable",https://id.jobstreet.com/id/job/89570412?type=standard&ref=search-standalone#sol=71ec0483c6732b546ed3f1657a457c2acb4582d2
AI Process Automation,PT CARSURIN Tbk,"Key Responsibilities :
Cross-Division Collaboration & Stakeholder Engagement
Communicate clearly and humbly to understand real pain points on the ground.
Conduct interviews, shadow workflows, and gather structured input.
Process Discovery & AI-Assisted Documentation
Break down existing workflows step-by-step (current state).
Standardize documentation across divisions.
Process Redesign (Future State)
Redesign workflows for clarity, traceability, accountability, and measurable performance.
Validate redesigned processes with relevant divisions before rollout.
Automation Implementation
Develop or deploy automation solutions (scripts, integrations, internal tools).
Integrate AI into workflows for data extraction, validation, document processing, and decision support.
Continuous AI Exploration & Optimization
Stay updated with emerging AI and automation tools.
Proactively identify new use cases to improve efficiency.

Requirements
1.5–3 years experience in software engineering, automation, AI implementation, or process improvement.
Strong structured thinking and analytical ability.
Hands-on programming ability (Python preferred) & experience 1.5 years.
Strong familiarity with AI tools (ChatGPT, Gemini, Claude, etc.).
Ability to communicate clearly and work humbly with diverse teams.
Comfortable operating with ambiguity and minimal instruction.
High ownership mindset and self-driven learner.
Proficient English written and verbal a MUST",https://id.jobstreet.com/id/job/90468825?type=standard&ref=search-standalone&origin=cardTitle#sol=d6b8dee0e0266fff47c67ffe246b50feaa18e236
Credit Scoring & Portfolio Manager,PT Sejahtera Sama Kita,"What you will do

1. Credit Scoring &Modeling
Support HQ indevelopingandmaintainingcreditscoringmodelsusingSQL,Python,and machine learning techniques. Contribute to credit policy refinement through data-driven insights and model performance analysis.

2. Portfolio Monitoring & Reporting
Monitor portfolio performance, delinquency, and loss trends to identify early risk signals.
Deliver monthly portfolio reports and analytical insights for management and related business units.

3. Exploration of New Data Sources & Tools
Evaluate and test alternate local data sources or tools to enhance underwriting precision.
Lead proof-of-concept (POC) initiatives and assess their business and risk impact.

4. Regulatory & Partner Engagement
Represent the Credit Risk team in OJK audits and bank partner engagements.
Prepare reports and defend the company’s portfolio quality and underwriting standards to regulators and partners.

What you will need to have
1. Bachelor's or Master's in Finance, Statistics, Mathematics, Data Science, or related field.
2. 4-6 years experience in data science, credit scoring model development, portfolio analytics, or credit management. Ideally in fintech or retail banking. Exposure to OJK/regulatory audits is preferred.
3. Strong in SQL & Python skills, statistical modelling and ML knowledge.
4. Experience with portfolio reporting and impact analysis. Familiarity with OJK credit risk requirements.
5. Possess analytical and detail oriented. Strong communicator, able to present insights clearly.
6. Collaborative, and able to manage multiple priorities.",https://id.jobstreet.com/id/job/90428476?type=standard&ref=search-standalone&origin=cardTitle#sol=263573d54a5544277e92d11eda8296aae6e58c72
Data Support Spv - FMCG,Pengiklan Anonim,"Deskripsi Pekerjaan:
Mengolah data dan menyajikan laporan untuk management & user
Menganalisis dan menafsirkan kumpulan data yang berkaitan dengan bisnis perusahaan
Menganalisa data untuk pendukung pengambilan keputusan
Berkoordinasi dengan divisi lain untuk menghasilkan laporan yang dibutuhkan
Membantu menerjemahkan data ke dalam visualisasi, metrik, dan tujuan

Kualifikasi:
Pendidikan minimal S1 Jurusan Statistik/ Matematika (IPK minimal 3.00)
Berpengalaman bekerja minimal 5 tahun sebagai Data Analis di industri FMCG
Mahir Mengoperasikan Microsoft Excel
Kemampuan riset dan analisa yang tajam
Teliti, cekatan, jujur, dan pekerja keras
Berpikir kritis saat memecahkan berbagai solusi dari permasalahan yang ada
Berpikir logis dengan memanfaatkan berbagai metode",https://id.jobstreet.com/id/job/90047145?type=standard&ref=search-standalone#sol=f2d0204c9f0a590882e22a07c1e48fea50c502fc
Data Scientist,PT Data Labs Analytics,"Job Description
Develop and implement machine learning models and algorithms to solve business problems, leveraging both structured and unstructured data.
Design and build scalable and efficient data pipelines for data ingestion, preprocessing, and feature engineering.
Collaborate with cross-functional teams to understand business requirements and translate them into technical specifications.
Conduct exploratory data analysis (EDA) to gain insights and identify patterns or trends.
Evaluate and select appropriate machine learning techniques, models, and algorithms based on project requirements.
Train, optimize, and fine-tune machine learning models using large-scale datasets.
Validate and test models for accuracy, reliability, and robustness.
Monitor and maintain deployed models, ensuring their performance and stability.
Collaborate with Data Engineers to integrate machine learning models into production systems.
Stay up to date with advancements in machine learning and actively contribute to the team's knowledge base.
Communicate findings, results, and recommendations to both technical and non-technical stakeholders or customers.

Requirements
Minimum 1 year of experience in Machine Learning and Data Science.
Bachelor's degree in Computer Science, Data Science, Mathematics, Statistics, or a related field (Master’s or Ph.D. is a plus).
Proven experience as a Data Scientist, Machine Learning Engineer, or similar role, with a strong track record of deploying models in real-world applications.
Proficiency in Python, R, or Scala, and experience with popular frameworks such as TensorFlow, PyTorch, or scikit-learn.
Solid understanding of machine learning techniques (supervised/unsupervised learning, deep learning, NLP, and reinforcement learning).
Experience with data manipulation, preprocessing, and feature engineering.
Strong knowledge of statistical analysis, hypothesis testing, and experimental design.
Familiarity with cloud platforms (AWS, Azure, or GCP) and distributed computing (Hadoop, Spark).
Proficiency in SQL and database management systems.
Strong problem-solving skills with the ability to navigate complex and ambiguous business challenges.
Excellent communication and teamwork skills.",https://id.jobstreet.com/id/job/90467476?type=standard&ref=search-standalone#sol=0fb69c21797517788bc5190859405f94a9ca9d55
